"pli-tv-bi-vb-pc156","156. Eavesdropping"
"pli-tv-bi-vb-pc157","157. Criticizing a legitimate legal procedure"
"pli-tv-bi-vb-pc158","158. Leaving without giving consent"
"pli-tv-bi-vb-pc159","159. Criticizing a robe distribution"
"pli-tv-bi-vb-pc160","160. Diverting gains intended for the Sangha"
"pli-tv-bi-vb-pc161","161. Picking up precious things"
"pli-tv-bi-vb-pc162","162. Making an inappropriate needle case"
"pli-tv-bi-vb-pc163","163. Making an inappropriate bed or bench"
"pli-tv-bi-vb-pc164","164. Making an upholstered bed or bench"
"pli-tv-bi-vb-pc165","165. Making an oversize itch cloth"
"pli-tv-bi-vb-pc166","166. Making an oversize robe"
"pli-tv-bi-vb-pd2","2. Asking for oil"
"pli-tv-bi-vb-pd3","3. Asking for honey"
"pli-tv-bi-vb-pd4","4. Asking for syrup"
"pli-tv-bi-vb-pd5","5. Asking for fish"
"pli-tv-bi-vb-pd6","6. Asking for meat"
"pli-tv-bi-vb-pd7","7. Asking for milk"
"pli-tv-bi-vb-pd8","8. Asking for curd"
"pli-tv-bi-vb-sk2","2. Not wearing the upper robe evenly all around"
"pli-tv-bi-vb-sk3","3. Not being well-covered"
"pli-tv-bi-vb-sk4","4. Not being well-covered"
"pli-tv-bi-vb-sk5","5. Being unrestrained"
"pli-tv-bi-vb-sk6","6. Being unrestrained"
"pli-tv-bi-vb-sk7","7. Not lowering the eyes"
"pli-tv-bi-vb-sk8","8. Not lowering the eyes"
"pli-tv-bi-vb-sk9","9. Lifting the robes"
"pli-tv-bi-vb-sk10","10. Lifting the robes"
"pli-tv-bi-vb-sk11","11. Laughing loudly"
"pli-tv-bi-vb-sk12","12. Laughing loudly"
"pli-tv-bi-vb-sk13","13. Being noisy"
"pli-tv-bi-vb-sk14","14. Being noisy"
"pli-tv-bi-vb-sk15","15. Swaying the body"
"pli-tv-bi-vb-sk16","16. Swaying the body"
"pli-tv-bi-vb-sk17","17. Swinging the arms"
"pli-tv-bi-vb-sk18","18. Swinging the arms"
"pli-tv-bi-vb-sk19","19. Swaying the head"
"pli-tv-bi-vb-sk20","20. Swaying the head"
"pli-tv-bi-vb-sk21","21. Hands on hips"
"pli-tv-bi-vb-sk22","22. Hands on hips"
"pli-tv-bi-vb-sk23","23. Covering the head"
"pli-tv-bi-vb-sk24","24. Covering the head"
"pli-tv-bi-vb-sk25","25. Squatting on the heels"
"pli-tv-bi-vb-sk26","26. Clasping the knees"
"pli-tv-bi-vb-sk27","27. Not receiving respectfully"
"pli-tv-bi-vb-sk28","28. Not receiving with attention on the almsbowl"
"pli-tv-bi-vb-sk29","29. Not receiving in the right proportions"
"pli-tv-bi-vb-sk30","30. Not receiving on an even level"
"pli-tv-bi-vb-sk31","31. Not eating respectfully"
"pli-tv-bi-vb-sk32","32. Not eating with attention on the almsbowl"
"pli-tv-bi-vb-sk33","33. Not eating in order"
"pli-tv-bi-vb-sk34","34. Not eating in the right proportions"
"pli-tv-bi-vb-sk35","35. Making food into a heap"
"pli-tv-bi-vb-sk36","36. Covering with rice"
"pli-tv-bi-vb-sk37","37. Requesting rice and bean curry"
"pli-tv-bi-vb-sk38","38. Finding fault"
"pli-tv-bi-vb-sk39","39. Making an overlarge mouthful"
"pli-tv-bi-vb-sk40","40. Not making rounded mouthfuls"
"pli-tv-bi-vb-sk41","41. Opening the mouth"
"pli-tv-bi-vb-sk42","42. Putting whole hand in mouth"
"pli-tv-bi-vb-sk43","43. Speaking with food in mouth"
"pli-tv-bi-vb-sk44","44. Eating from lifted mouthfuls"
"pli-tv-bi-vb-sk45","45. Breaking up mouthfuls"
"pli-tv-bi-vb-sk46","46. Stuffing the cheeks"
"pli-tv-bi-vb-sk47","47. Shaking the hand"
"pli-tv-bi-vb-sk48","48. Scattering rice"
"pli-tv-bi-vb-sk49","49. Sticking out the tongue"
"pli-tv-bi-vb-sk50","50. Chomping"
"pli-tv-bi-vb-sk51","51. Slurping"
"pli-tv-bi-vb-sk52","52. Licking the hand"
"pli-tv-bi-vb-sk53","53. Licking the almsbowl"
"pli-tv-bi-vb-sk54","54. Licking the lips"
"pli-tv-bi-vb-sk55","55. Receiving with soiled hand"
"pli-tv-bi-vb-sk56","56. Discarding waste water with rice"
"pli-tv-bi-vb-sk57","57. Holding a sunshade"
"pli-tv-bi-vb-sk58","58. Holding a staff"
"pli-tv-bi-vb-sk59","59. Holding a knife"
"pli-tv-bi-vb-sk60","60. Holding a weapon"
"pli-tv-bi-vb-sk61","61. Wearing shoes"
"pli-tv-bi-vb-sk62","62. Wearing sandals"
"pli-tv-bi-vb-sk63","63. Sitting in a vehicle"
"pli-tv-bi-vb-sk64","64. Lying down"
"pli-tv-bi-vb-sk65","65. Clasping the knees"
"pli-tv-bi-vb-sk66","66. Wearing a headdress"
"pli-tv-bi-vb-sk67","67. Covering the head"
"pli-tv-bi-vb-sk68","68. Sitting on the ground"
"pli-tv-bi-vb-sk69","69. Sitting on a low seat"
"pli-tv-bi-vb-sk70","70. Standing"
"pli-tv-bi-vb-sk71","71. Walking behind"
"pli-tv-bi-vb-sk72","72. Walking next to the path"
"pli-tv-bi-vb-sk73","73. Defecating while standing"
"pli-tv-bi-vb-sk74","74. Defecating on cultivated plants"
"pli-tv-bi-vb-as1","1. Resolution Face-to-face"
"pli-tv-bi-vb-as2","2. Resolution through Recollection"
"pli-tv-bi-vb-as3","3. Resolution Because of Past Insanity"
"pli-tv-bi-vb-as4","4. Admittance"
"pli-tv-bi-vb-as5","5. Majority Decision"
"pli-tv-bi-vb-as6","6. Further Penalty"
"pli-tv-bi-vb-as7","7. Covering over as if with Grass"
"pli-tv-bu-vb-as1","1. Resolution Face-to-face"
"pli-tv-bu-vb-as2","2. Resolution through Recollection"
"pli-tv-bu-vb-as3","3. Resolution Because of Past Insanity"
"pli-tv-bu-vb-as4","4. Admittance"
"pli-tv-bu-vb-as5","5. Majority Decision"
"pli-tv-bu-vb-as6","6. Further Penalty"
"pli-tv-bu-vb-as7","7. Covering over as if with Grass"
