"pli-tv-bi-vb-pc55","55. Being stingy with families"
"pli-tv-bi-vb-pc56","56. Spending the rainy season apart from monks"
"pli-tv-bi-vb-pc57","57. Not doing the invitation ceremony"
"pli-tv-bi-vb-pc58","58. Not going to the instruction"
"pli-tv-bi-vb-pc59","59. Not seeking the instruction"
"pli-tv-bi-vb-pc60","60. Getting medical treatment from a man"
"pli-tv-bi-vb-pc61","61. Ordaining a pregnant woman"
"pli-tv-bi-vb-pc62","62. Ordaining a breastfeeding woman"
"pli-tv-bi-vb-pc63","63. Ordaining an untrained candidate"
"pli-tv-bi-vb-pc64","64. Ordaining a trained candidate without approval"
"pli-tv-bi-vb-pc65","65. Ordaining a married girl under twelve"
"pli-tv-bi-vb-pc66","66. Ordaining an untrained married girl"
"pli-tv-bi-vb-pc67","67. Ordaining a trained married girl without approval"
"pli-tv-bi-vb-pc68","68. Not guiding a disciple after ordination"
"pli-tv-bi-vb-pc69","69. Not following a mentor"
"pli-tv-bi-vb-pc70","70. Not sending away a new disciple"
"pli-tv-bi-vb-pc71","71. Ordaining an unmarried woman under twenty"
"pli-tv-bi-vb-pc72","72. Ordaining an untrained unmarried woman"
"pli-tv-bi-vb-pc73","73. Ordaining a trained unmarried woman without approval"
"pli-tv-bi-vb-pc74","74. Giving ordination while under twelve years’ seniority"
"pli-tv-bi-vb-pc75","75. Giving ordination without approval"
"pli-tv-bi-vb-pc76","76. Agreeing to stop ordaining, but then criticizing it"
"pli-tv-bi-vb-pc77","77. Not ordaining a trainee after promising"
"pli-tv-bi-vb-pc78","78. Not ordaining a trainee who has followed one"
"pli-tv-bi-vb-pc79","79. Ordaining one who is difficult to live with"
"pli-tv-bi-vb-pc80","80. Ordaining without permission from family"
"pli-tv-bi-vb-pc81","81. Ordaining after consent expires"
"pli-tv-bi-vb-pc82","82. Ordaining every year"
"pli-tv-bi-vb-pc83","83. Ordaining two in the same year"
"pli-tv-bi-vb-pc84","84. Using sunshades and sandals"
"pli-tv-bi-vb-pc85","85. Traveling in a vehicle"
"pli-tv-bi-vb-pc86","86. Wearing a hip ornament"
"pli-tv-bi-vb-pc87","87. Wearing jewelry"
"pli-tv-bi-vb-pc88","88. Bathing in scents and colors"
"pli-tv-bi-vb-pc89","89. Bathing with sesame paste"
"pli-tv-bi-vb-pc90","90. Getting a massage from a nun"
"pli-tv-bi-vb-pc91-93","91–93. Getting a massage from a trainee nun … from a novice nun … from a female householder"
"pli-tv-bi-vb-pc94","94. Sitting in front without permission"
"pli-tv-bi-vb-pc95","95. Asking a question without permission"
"pli-tv-bi-vb-pc96","96. Not wearing a chest wrap"
"pli-tv-bi-vb-pd1","1. The training rule on asking for ghee"
"pli-tv-bi-vb-pd2-8","2–8. Asking for oil … for honey … for syrup … for fish … for meat … for milk … for curd"
"pli-tv-bi-vb-sk1","1. Not wearing the sarong evenly all around"
"pli-tv-bi-vb-sk75","75. Defecating in water"
"pli-tv-bi-vb-as1-7","The settling of legal issues"
"pli-tv-bu-vb-pj1","1. The training rule on sexual intercourse"
"pli-tv-bu-vb-pj2","2. The training rule on stealing"
"pli-tv-bu-vb-pj3","3. The training rule on killing a human being"
"pli-tv-bu-vb-pj4","4. The training rule on falsely claiming a superhuman quality"
"pli-tv-bu-vb-ss1","1. The training rule on masturbation"
"pli-tv-bu-vb-ss2","2. Physical contact with a woman"
"pli-tv-bu-vb-ss3","3. Indecent speech"
"pli-tv-bu-vb-ss4","4. Encouraging a woman to satisfy one’s desires"
"pli-tv-bu-vb-ss5","5. Matchmaking"
"pli-tv-bu-vb-ss6","6. Building a hut inappropriately"
"pli-tv-bu-vb-ss7","7. Building a dwelling inappropriately"
"pli-tv-bu-vb-ss8","8. Making a groundless accusation out of anger"
"pli-tv-bu-vb-ss9","9. Making a groundless accusation out of anger, using a pretext"
"pli-tv-bu-vb-ss10","10. Causing a schism in the Sangha"
"pli-tv-bu-vb-ss11","11. Siding with a schismatic"
"pli-tv-bu-vb-ss12","12. Being difficult to correct"
"pli-tv-bu-vb-ss13","13. Being a corrupter of families"
"pli-tv-bu-vb-ay1","1. Sitting with a woman in a concealed place"
"pli-tv-bu-vb-ay2","2. Sitting alone with a woman"
"pli-tv-bu-vb-np1","1. The training rule on keeping extra robe-cloth beyond ten days"
"pli-tv-bu-vb-np2","2. Staying apart from one’s robes"
"pli-tv-bu-vb-np3","3. Keeping extra robe-cloth beyond a month"
"pli-tv-bu-vb-np4","4. Having a nun wash a used robe"
"pli-tv-bu-vb-np5","5. Receiving a robe from a nun"
"pli-tv-bu-vb-np6","6. Asking an unrelated person for a robe"
"pli-tv-bu-vb-np7","7. Accepting too many robes"
"pli-tv-bu-vb-np8","8. Requesting a fine robe from a fund"
"pli-tv-bu-vb-np9","9. Requesting a fine robe from a combined fund"
"pli-tv-bu-vb-np10","10. Excessive prompting to get a robe"
"pli-tv-bu-vb-np11","11. Making a blanket with silk"
"pli-tv-bu-vb-np12","12. Making a blanket entirely of black wool"
"pli-tv-bu-vb-np13","13. Making a new blanket with too much black wool"
"pli-tv-bu-vb-np14","14. Keeping a new blanket less than six years"
"pli-tv-bu-vb-np15","15. Making an inappropriate sitting blanket"
"pli-tv-bu-vb-np16","16. Carrying wool too far"
"pli-tv-bu-vb-np17","17. Getting a nun to wash wool"
"pli-tv-bu-vb-np18","18. Becoming the owner of money"
"pli-tv-bu-vb-np19","19. Trading with money"
